
Model: AMCNet Num. Parameters: 462553

Training epochs..: 1it [00:33, 33.25s/it]
loss: 1.386883  [    0/2840000]


















































Training epochs..: 51it [08:59,  5.85s/it]
Training epochs..: 1750it [2:25:11,  4.87s/it]
loss: 0.675193  [896000/2840000]



















































Training epochs..: 1801it [2:29:26,  5.03s/it]
loss: 0.595744  [921600/2840000]


















































Training epochs..: 1851it [2:33:35,  5.03s/it]
loss: 0.630649  [947200/2840000]


















































Training epochs..: 1901it [2:37:44,  4.99s/it]
loss: 0.657842  [972800/2840000]


















































Training epochs..: 1951it [2:41:54,  4.98s/it]
loss: 0.688246  [998400/2840000]

















































Training epochs..: 2000it [2:45:58,  4.95s/it]
loss: 0.570223  [1024000/2840000]



















































Training epochs..: 2051it [2:50:11,  4.91s/it]
loss: 0.627648  [1049600/2840000]

















































Training epochs..: 2100it [2:54:15,  5.01s/it]
loss: 0.669059  [1075200/2840000]


















































Training epochs..: 2150it [2:58:25,  4.96s/it]
loss: 0.636623  [1100800/2840000]



















































Training epochs..: 2201it [3:02:38,  5.01s/it]
loss: 0.606846  [1126400/2840000]


















































Training epochs..: 2251it [3:06:45,  4.91s/it]
loss: 0.629833  [1152000/2840000]

















































Training epochs..: 2300it [3:10:50,  5.03s/it]
loss: 0.593197  [1177600/2840000]



















































Training epochs..: 2351it [3:15:04,  4.92s/it]
loss: 0.608873  [1203200/2840000]


















































Training epochs..: 2401it [3:19:13,  4.91s/it]
loss: 0.591030  [1228800/2840000]

















































Training epochs..: 2450it [3:23:17,  5.02s/it]
loss: 0.653878  [1254400/2840000]



















































Training epochs..: 2501it [3:27:31,  4.98s/it]
loss: 0.653551  [1280000/2840000]

















































Training epochs..: 2550it [3:31:35,  4.94s/it]
loss: 0.661207  [1305600/2840000]



















































Training epochs..: 2601it [3:35:47,  4.98s/it]
loss: 0.674115  [1331200/2840000]

















































Training epochs..: 2650it [3:39:52,  4.94s/it]
loss: 0.689051  [1356800/2840000]


















































Training epochs..: 2700it [3:43:58,  4.87s/it]
loss: 0.561938  [1382400/2840000]



















































Training epochs..: 2751it [3:48:12,  4.90s/it]
loss: 0.637263  [1408000/2840000]

















































Training epochs..: 2800it [3:52:16,  4.96s/it]
loss: 0.641556  [1433600/2840000]



















































Training epochs..: 2851it [3:56:29,  5.03s/it]
loss: 0.585671  [1459200/2840000]


















































Training epochs..: 2901it [4:00:37,  5.04s/it]
loss: 0.599382  [1484800/2840000]

















































Training epochs..: 2950it [4:04:41,  4.99s/it]
loss: 0.676292  [1510400/2840000]



















































Training epochs..: 3001it [4:08:54,  5.03s/it]
loss: 0.605044  [1536000/2840000]

















































Training epochs..: 3050it [4:12:57,  5.04s/it]
loss: 0.665781  [1561600/2840000]



















































Training epochs..: 3101it [4:17:12,  5.10s/it]
loss: 0.552858  [1587200/2840000]

















































Training epochs..: 3150it [4:21:16,  4.92s/it]
loss: 0.579607  [1612800/2840000]



















































Training epochs..: 3201it [4:25:30,  4.94s/it]
loss: 0.610772  [1638400/2840000]


















































Training epochs..: 3251it [4:29:39,  4.98s/it]
loss: 0.616017  [1664000/2840000]


















































Training epochs..: 3301it [4:33:45,  4.99s/it]
loss: 0.581101  [1689600/2840000]

















































Training epochs..: 3350it [4:37:48,  4.96s/it]
loss: 0.678263  [1715200/2840000]


















































Training epochs..: 3400it [4:41:55,  4.91s/it]
loss: 0.634332  [1740800/2840000]


















































Training epochs..: 3450it [4:46:03,  4.92s/it]
loss: 0.586606  [1766400/2840000]



















































Training epochs..: 3501it [4:50:16,  4.97s/it]
loss: 0.557919  [1792000/2840000]

















































Training epochs..: 3550it [4:54:20,  4.97s/it]
loss: 0.564705  [1817600/2840000]



















































Training epochs..: 3601it [4:58:34,  5.02s/it]
loss: 0.561794  [1843200/2840000]


















































Training epochs..: 3651it [5:02:43,  4.99s/it]
loss: 0.665025  [1868800/2840000]


























